sample_id,cluster,umap_1,umap_2
739,6,3.1103432,2.8655026
740,9,13.413463,-1.2116562
741,8,-0.15949494,2.0250351
742,6,3.5052998,3.443767
743,0,-3.6573784,6.9016376
744,9,13.580326,-1.2318227
745,10,13.589223,0.65966046
746,6,3.525808,3.246525
747,4,10.225268,4.4540625
748,1,8.572169,10.719565
749,4,9.954435,4.5887713
750,8,-0.1243597,1.9807848
751,0,-3.8366673,6.2604537
752,3,11.399947,4.5158935
753,6,1.4503274,4.787124
754,6,2.0096045,3.3352602
755,10,13.552603,0.27560088
756,8,1.2376215,1.5023305
757,0,-3.8777866,6.33045
758,7,-1.1126615,3.1148207
759,6,2.6014779,3.234289
760,4,9.937454,4.1550484
761,10,13.893892,1.5421426
762,10,13.461728,0.8369952
763,3,11.33327,4.4894915
764,6,2.011709,3.5081382
765,6,1.6719512,4.128729
766,0,-3.8462555,6.2427464
767,3,11.339584,4.4330034
768,0,-3.5858617,6.8729243
769,6,3.1097653,3.252512
770,8,1.3262147,1.7393034
771,4,10.20271,4.5376015
772,5,12.153099,-0.7893181
773,9,13.504356,-1.1650443
774,-1,10.548007,1.7343453
775,1,8.492102,10.282624
776,9,14.23509,-1.3958662
777,0,-4.4169636,6.346446
778,0,-3.9712887,6.8219533
779,6,1.3312501,2.9155245
780,4,9.985425,5.0020313
781,5,10.972165,-1.0259392
782,4,9.779971,4.708849
783,4,9.609243,4.7056084
784,2,11.391076,9.972976
785,9,13.798683,-1.4344522
786,7,-0.95493275,3.031327
787,7,-0.8877792,4.572838
788,4,9.578233,4.7701154
789,4,9.744872,4.392649
790,2,11.228423,10.276838
791,-1,0.7450278,3.6813707
792,8,1.1643194,1.5777491
793,6,1.3902534,3.024145
794,7,-1.1517286,3.0459194
795,2,11.080036,9.394372
796,10,13.933726,0.16366419
797,0,-3.941875,5.7528605
798,1,8.713246,10.52105
799,6,2.077703,3.399787
800,3,11.297294,4.399332
801,6,1.3423569,2.9244757
802,8,-0.19238995,1.9926285
803,4,10.080538,4.530006
804,4,10.05137,4.756865
805,2,10.486201,9.868142
806,0,-3.873936,5.6501966
807,8,1.3372685,1.821152
808,2,11.771302,9.784013
809,2,12.194038,10.003116
810,10,12.986059,1.4828175
811,0,-4.36583,6.0308313
812,10,13.253533,1.5070536
813,8,1.1313648,1.6456822
814,10,13.501868,1.9137261
815,1,9.007981,10.055198
816,5,11.882734,-0.7152953
817,10,13.767039,0.53496087
818,0,-4.1609154,6.8488317
819,5,11.030812,-0.9312397
820,0,-3.820099,6.708044
821,-1,12.71314,0.1725066
822,6,1.4544947,3.3861022
823,4,9.2237835,4.850756
824,0,-3.9543362,6.5367336
825,6,1.7728266,4.0279756
826,3,10.883532,4.5106287
827,10,12.414842,1.2817891
828,2,11.011285,9.397135
829,0,-3.687055,7.078108
830,0,-3.798545,6.8958354
831,5,11.092098,-0.81171083
832,7,-1.3142669,2.8532434
833,6,1.5718998,3.0231607
834,8,-0.17431056,1.9942703
835,6,2.0500817,3.411575
836,0,-3.6386123,6.7117476
837,7,-1.5101798,3.0029516
838,-1,0.8068866,3.7143252
839,-1,12.679948,2.4780369
840,7,-1.3582455,2.6710935
841,0,-4.398106,6.2783523
842,10,12.238991,1.1964633
843,4,9.939867,4.5119653
